id,box_orig,box_n,doc,# language,,,doc_filename,fecha_orig,"description_excel_divided
",_material,year,keywords,_height,_width,_time,_description,xidold,nombre_nuevo,rvtipo_esp,,content category,filename_orig_,description_filename_orig,th_filename,,tkb_subido,tkb_textto_regiones,tkb_etiquetas_tags,,kg_en_proceso,kg_relaciones,kg_entidades
30,box_55,55,5,,,p1,,11/1/1971,,notesfromfirstvisitindustrialopsdivision,box_55,manuscript,,,,notesfromfirstvisitindustrial ops division,sbc_b_55_notesfromfirstvisitindustrialopsdivision_p_00_high.jpg,sbc_b_55_notesfromfirstvisitindustrialopsdivision_p_00_high.jpg,manuscrito,,,staffordbeercollectionnotesfromfirstvisitindustrialopsdivision_p_00.tiff,notesfromfirstvisitindustrialopsdivision,sbc_b_55_notesfromfirstvisitindustrialopsdivision_p_00_th.png,,v,,,,,,
31,box_55,55,5,,,,,11/1/1971,,notesfromfirstvisitindustrialopsdivision,box_55,manuscript,,,,notes from first visit industrial ops division,sbc_b_55_notesfromfirstvisitindustrialopsdivision_p_01_high.jpg,sbc_b_55_notesfromfirstvisitindustrialopsdivision_p_01_high.jpg,manuscrito,,,staffordbeercollectionnotesfromfirstvisitindustrialopsdivision_p_01.tiff,notesfromfirstvisitindustrialopsdivision,sbc_b_55_notesfromfirstvisitindustrialopsdivision_p_01_th.png,,v,,,,,,
32,box_55,55,5,,,,,11/1/1971,,notesfromfirstvisitindustrialopsdivision,box_55,manuscript,,,,notes from first visit industrial ops division,sbc_b_55_notesfromfirstvisitindustrialopsdivision_p_02_high.jpg,sbc_b_55_notesfromfirstvisitindustrialopsdivision_p_02_high.jpg,manuscrito,,,staffordbeercollectionnotesfromfirstvisitindustrialopsdivision_p_02.tiff,notesfromfirstvisitindustrialopsdivision,sbc_b_55_notesfromfirstvisitindustrialopsdivision_p_02_th.png,,v,,,,,,
33,box_55,55,5,,,,,11/1/1971,,notesfromfirstvisitindustrialopsdivision,box_55,hand-drawn_diagram,,,,notes from first visit industrial ops division,sbc_b_55_notesfromfirstvisitindustrialopsdivision_p_03_high.jpg,sbc_b_55_notesfromfirstvisitindustrialopsdivision_p_03_high.jpg,diagrama_manuscrito,,,staffordbeercollectionnotesfromfirstvisitindustrialopsdivision_p_03.tiff,notesfromfirstvisitindustrialopsdivision,sbc_b_55_notesfromfirstvisitindustrialopsdivision_p_03_th.png,,v,,,,,,
34,box_55,55,5,,,,,11/1/1971,,notesfromfirstvisitindustrialopsdivision,box_55,hand-drawn_diagram,,,,notes from first visit industrial ops division,sbc_b_55_notesfromfirstvisitindustrialopsdivision_p_04_high.jpg,sbc_b_55_notesfromfirstvisitindustrialopsdivision_p_04_high.jpg,diagrama_manuscrito,,,staffordbeercollectionnotesfromfirstvisitindustrialopsdivision_p_04.tiff,notesfromfirstvisitindustrialopsdivision,sbc_b_55_notesfromfirstvisitindustrialopsdivision_p_04_th.png,,v,,,,,,
35,box_55,55,5,,,,,11/1/1971,,notesfromfirstvisitindustrialopsdivision,box_55,manuscript,,,,notes from first visit industrial ops division,sbc_b_55_notesfromfirstvisitindustrialopsdivision_p_05_high.jpg,sbc_b_55_notesfromfirstvisitindustrialopsdivision_p_05_high.jpg,manuscrito,,,staffordbeercollectionnotesfromfirstvisitindustrialopsdivision_p_05.tiff,notesfromfirstvisitindustrialopsdivision,sbc_b_55_notesfromfirstvisitindustrialopsdivision_p_05_th.png,,v,,,,,,
36,box_55,55,5,,,,,11/1/1971,,notesfromfirstvisitindustrialopsdivision,box_55,manuscript,,,,notes from first visit industrial ops division,sbc_b_55_notesfromfirstvisitindustrialopsdivision_p_06_high.jpg,sbc_b_55_notesfromfirstvisitindustrialopsdivision_p_06_high.jpg,manuscrito,,,staffordbeercollectionnotesfromfirstvisitindustrialopsdivision_p_06.tiff,notesfromfirstvisitindustrialopsdivision,sbc_b_55_notesfromfirstvisitindustrialopsdivision_p_06_th.png,,v,,,,,,
37,box_55,55,5,,,,,11/1/1971,,notesfromfirstvisitindustrialopsdivision,box_55,manuscript,,,,notes from first visit industrial ops division,sbc_b_55_notesfromfirstvisitindustrialopsdivision_p_07_high.jpg,sbc_b_55_notesfromfirstvisitindustrialopsdivision_p_07_high.jpg,manuscrito,,,staffordbeercollectionnotesfromfirstvisitindustrialopsdivision_p_07.tiff,notesfromfirstvisitindustrialopsdivision,sbc_b_55_notesfromfirstvisitindustrialopsdivision_p_07_th.png,,v,,,,,,
38,box_55,55,6,,,p1,,no date,,photographsoftheteam,box_55,photo,,,,photographs of the team,sbc_b_55_photographsoftheteam_p_00_high.jpg,sbc_b_55_photographsoftheteam_p_00_high.jpg,foto,ph,foros describir independientemente. ,staffordbeercollectionphotographsoftheteam_p_00.tiff,photographsoftheteam,sbc_b_55_photographsoftheteam_p_00_th.png,,r,,,,,,
39,box_55,55,6,,,,,no date,,photographsoftheteam,box_55,photo,,,,photographs of the team,sbc_b_55_photographsoftheteam_p_01_high.jpg,sbc_b_55_photographsoftheteam_p_01_high.jpg,foto,ph,,staffordbeercollectionphotographsoftheteam_p_01.tiff,photographsoftheteam,sbc_b_55_photographsoftheteam_p_01_th.png,,r,,,,,,
